S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
2962,Electrical Research & Development Association,Electrical Equipment,4,253,50,"Work Life Balance, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
2963,Wartsila,Ports & Shipping,4.5,253,190,"Company Culture, Work Life Balance, Job Security",None
2964,Rheinmetall Automotive,Auto Components,4,253,115,Promotions / Appraisal,None
2965,Infocepts Technologies,IT Services & Consulting,3.4,253,20,"Job Security, Promotions / Appraisal, Work Satisfaction",None
2966,Yara Fertilisers,Agro Chemicals,4.1,253,119,"Salary & Benefits, Skill Development / Learning, Company Culture",None
2967,McNROE,FMCG,4,253,38,"Promotions / Appraisal, Job Security",None
2968,New Opportunity Consultancy,Recruitment,4.3,253,9,"Work Life Balance, Company Culture, Skill Development / Learning",None
2969,Spice Money,FinTech,4,253,24,"Company Culture, Work Life Balance, Skill Development / Learning",None
2970,Sigma Engineered Solutions,Unknown,4.2,253,39.39854522,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
2971,Centre For Sight,Healthcare,4,253,28,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal
2972,Subway,Hospitality,4.3,252,59,"Company Culture, Work Satisfaction, Work Life Balance",None
2973,Gyproc,Unknown,4.1,252,39.39854522,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
2974,Unitech,Real Estate,3.9,252,53,Company Culture,"Promotions / Appraisal, Job Security, Salary & Benefits"
2975,TRL Krosaki Refractories,Metals & Mining,3.9,252,66,Job Security,None
2976,Xanadu,Real Estate,3.4,252,9,"Work Life Balance, Promotions / Appraisal",None
2977,Louis Philippe,Fashion & Textile,4.3,252,35,"Skill Development / Learning, Company Culture, Work Satisfaction",None
2978,MN Dastur & Company,Metals & Mining,3.7,252,69,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Job Security"
2979,Aabasoft,IT Services & Consulting,4.3,252,22,"Company Culture, Skill Development / Learning, Job Security",None
2980,Metric Stream Infotech,Internet,3.4,252,25,"Promotions / Appraisal, Job Security, Work Satisfaction",None
2981,Core Integra Consulting Services,Recruitment,3.7,252,13,"Promotions / Appraisal, Salary & Benefits, Job Security",None
2982,Halonix Technologies,Electronics Manufacturing,4.2,252,11,"Company Culture, Work Life Balance, Salary & Benefits",None
2983,Cheil India,Marketing & Advertising,3.2,252,21,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",None
2984,Sri Aurobindo Society,Non-Profit,3.4,252,64,"Promotions / Appraisal, Job Security, Salary & Benefits",None
2985,Naaptol Online Shopping,Internet,3.7,252,16,"Promotions / Appraisal, Job Security, Company Culture",None
2986,Sterling Oil Exploration & Energy Production,Oil & Gas,3.7,252,19,"Promotions / Appraisal, Work Life Balance, Skill Development / Learning",None
2987,GM Modular,Electrical Equipment,4,252,24,Job Security,Promotions / Appraisal
2988,ServiceNow,Software Product,4,252,20,"Salary & Benefits, Company Culture, Job Security",None
2989,SiliconIndia,Printing & Publishing,2.6,251,27,"Company Culture, Promotions / Appraisal, Work Satisfaction",None
2990,ACB (India),Oil & Gas,3.7,251,27,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
2991,Oberoi Realty,Real Estate,3.9,251,44,Work Life Balance,Promotions / Appraisal
2992,Servion Global Solutions,IT Services & Consulting,3.7,251,29,Promotions / Appraisal,None
2993,Annalect,Marketing & Advertising,4,251,14,"Work Life Balance, Job Security, Company Culture",None
2994,Nyati Group,Real Estate,4.3,251,27,"Job Security, Salary & Benefits, Company Culture",None
2995,Onsitego,Consumer Electronics & Appliances,4,251,14,Salary & Benefits,None
2996,The Dow Chemical Company,Chemicals,4.3,251,26,"Work Life Balance, Company Culture, Salary & Benefits",None
2997,Richfeel Health & Beauty,Beauty & Personal Care,2.7,251,38,"Salary & Benefits, Job Security, Work Satisfaction",None
2998,Cimpress,Printing & Publishing,4,251,29,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
2999,Concord Biotech,Pharma,3.6,251,24,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
3000,Common Service Centres,Government,4.3,251,15,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
3001,Global Aluminium,Metals & Mining,3.9,251,27,Skill Development / Learning,None
3002,Welspun Enterprises,Engineering & Construction,4.2,251,48,"Salary & Benefits, Skill Development / Learning, Company Culture",None
3003,Fosroc India,Chemicals,4.4,251,44,"Job Security, Work Life Balance, Company Culture",None
3004,National Petroleum Construction Company,Oil & Gas,4.2,251,51,"Skill Development / Learning, Company Culture, Work Life Balance",None
3005,Diverse Lynx,IT Services & Consulting,3.9,251,22,"Work Life Balance, Work Satisfaction",None
3006,Ajio Business,Unknown,3.7,251,39.39854522,"Promotions / Appraisal, Job Security",None
3007,Shakti Pumps,Industrial Machinery,3.8,250,42,"Promotions / Appraisal, Salary & Benefits",None
3008,GRT Jewellers,Jewellery,4.3,250,60,"Job Security, Salary & Benefits, Company Culture",None
3009,Sundaram Auto Components,Auto Components,4.1,250,44,"Skill Development / Learning, Company Culture, Work Satisfaction",None
3010,Nilons Enterprises,Food Processing,4,250,62,Work Life Balance,Promotions / Appraisal
3011,Zydex Industries,Chemicals,4.1,250,27,"Company Culture, Work Life Balance, Skill Development / Learning",None
3012,Arena Animation,Education & Training,3.8,250,28,"Promotions / Appraisal, Job Security, Salary & Benefits",None
3013,Reliance Home Finance,NBFC,4.5,250,16,"Company Culture, Work Life Balance, Skill Development / Learning",None
3014,Vedant Fashions,Fashion & Textile,4,250,22,"Promotions / Appraisal, Salary & Benefits",None
3015,Cipla Health,Pharma,4.2,250,11,"Salary & Benefits, Work Life Balance, Company Culture",None
3016,Helloverify,Law Enforcement & Security,3.1,250,12,"Promotions / Appraisal, Job Security, Company Culture",None
3017,AIG Hospital,Healthcare,4.3,250,38,"Skill Development / Learning, Job Security, Company Culture",None
3018,Halliburton,Engineering & Construction,3.5,250,105,"Promotions / Appraisal, Work Satisfaction, Job Security",None
3019,CareEdge Ratings,Financial Services,2.8,249,31,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3021,Tata ClassEdge,EdTech,3.5,249,13,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
3022,Vara United,IT Services & Consulting,3.9,249,10,Job Security,"Salary & Benefits, Promotions / Appraisal"
3023,Syncfusion,Software Product,3.6,249,23,Job Security,"Company Culture, Work Life Balance, Salary & Benefits"
3024,Conviction HR,Recruitment,4.5,249,12,"Skill Development / Learning, Salary & Benefits, Company Culture",None
3025,SKH Y-TEC,Auto Components,4,249,11,"Job Security, Skill Development / Learning",Promotions / Appraisal
3026,Pfizer Products India,Pharma,4.3,249,175,"Company Culture, Work Life Balance, Skill Development / Learning",None
3027,IMSI,Recruitment,3.2,249,38,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3028,Nava Limited,Metals & Mining,3.8,248,52,"Work Life Balance, Job Security",Promotions / Appraisal
3029,Confidence Petroleum India,Oil & Gas,3.5,248,27,"Promotions / Appraisal, Job Security, Salary & Benefits",None
3030,Alkyl Amines,Chemicals,4.3,248,45,"Job Security, Skill Development / Learning, Company Culture",None
3031,Automatic Infotech,IT Services & Consulting,4.5,248,19,"Skill Development / Learning, Work Satisfaction, Company Culture",None
3032,GTL,Hardware & Networking,4.3,248,37,"Work Life Balance, Company Culture, Work Satisfaction",None
3033,Council of Scientific and Industrial Research,Government,4.5,248,82,"Work Life Balance, Skill Development / Learning, Company Culture","Job Security, Promotions / Appraisal"
3034,Muthoot Pappachan Group,Financial Services,4,248,137,Skill Development / Learning,Promotions / Appraisal
3035,Amartex Industries,Fashion & Textile,4.2,248,36,"Skill Development / Learning, Work Satisfaction, Company Culture",None
3036,Maharashtra Hybrid Seed Company,Agriculture,4.1,248,60,"Skill Development / Learning, Company Culture, Work Satisfaction",None
3037,Tessolve Semiconductor,Semiconductors,3.6,248,20,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
3038,Ruby Hall Clinic,Healthcare,4,248,65,"Skill Development / Learning, Job Security",Promotions / Appraisal
3039,Shree Baidyanath Ayurved Bhawan,Pharma,3.5,248,107,"Promotions / Appraisal, Skill Development / Learning",None
3040,Hexagon Capability Center,IT Services & Consulting,4,248,37,"Work Life Balance, Job Security, Company Culture",None
3041,Eastman Auto and Power Limited,Electrical Equipment,4,248,18,"Work Satisfaction, Skill Development / Learning",None
3042,Sri Sri Tattva,FMCG,3.7,248,21,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
3043,Busibud,Emerging Technologies,4,248,11,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
3044,NTT Global Networks,Hardware & Networking,4.1,248,24,"Job Security, Skill Development / Learning, Work Life Balance",None
3045,Satin Finserv,NBFC,4.1,248,39.39854522,"Work Life Balance, Job Security, Salary & Benefits",None
3046,Copeland,Electronics Manufacturing,4.1,248,39.39854522,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
3047,Infodrive,Other,4.4,247,28,"Skill Development / Learning, Company Culture, Work Satisfaction",None
3048,Evolve Technologies & Services,Recruitment,4.1,247,33,"Company Culture, Skill Development / Learning",None
3049,IDS Infotech,IT Services & Consulting,3.1,247,35,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
3050,Aeries Technology,IT Services & Consulting,3.5,247,12,"Skill Development / Learning, Promotions / Appraisal, Job Security",None
3051,Titan Laboratories,Pharma,3.7,247,20,Job Security,Promotions / Appraisal
3052,Peregrine Guarding,Law Enforcement & Security,4.1,247,29,"Salary & Benefits, Work Life Balance, Company Culture",None
3053,Uneecops Technologies,IT Services & Consulting,4.2,247,29,"Job Security, Company Culture, Work Satisfaction",None
3054,Rimjhim Ispat,Iron & Steel,3.8,247,30,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3055,Bluestone.com,Jewellery,3.7,247,13,"Promotions / Appraisal, Job Security, Company Culture",None
3056,Aeronautical Development Agency,Defence & Aerospace,4.4,247,40,"Work Life Balance, Skill Development / Learning, Company Culture",None
3057,Adama,Agro Chemicals,4.3,247,15,"Work Life Balance, Skill Development / Learning, Job Security",None
3058,ProConnect Integrated Logistics,Logistics,3.9,247,12,"Job Security, Work Life Balance",Promotions / Appraisal
3059,Berkadia,Real Estate,4,247,15,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
3060,Associated Road Carriers,Logistics,4.2,247,52,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
3061,ZF India Technology Center,Auto Components,3.7,247,109,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
3062,Hollister Medical,Medical Equipment,4.1,247,103,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
3063,ScoreMe Solutions,Software Product,4.6,247,39.39854522,"Company Culture, Promotions / Appraisal, Salary & Benefits",None
3064,Sureti Insurance Marketing,Insurance,4.2,247,39.39854522,"Work Life Balance, Skill Development / Learning, Salary & Benefits",None
3065,Kanpur Fertilizers & Chemicals,Agro Chemicals,4,246,14,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
3066,Walplast Products,Engineering & Construction,3.9,246,20,Promotions / Appraisal,None
3067,Thomson Digital,Printing & Publishing,4,246,62,"Salary & Benefits, Work Life Balance, Skill Development / Learning",None
3068,Highway Industries,Engineering & Construction,4,246,53,"Skill Development / Learning, Company Culture",Promotions / Appraisal
3069,Mobikwik,FinTech,3.4,246,15,"Promotions / Appraisal, Work Satisfaction, Job Security",None
3070,Desun Hospital & Heart Institute,Healthcare,3.7,246,16,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3071,Harsha Engineers,Auto Components,4.2,246,38,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
3072,NVH India Auto Parts,Auto Components,3.7,246,40,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3073,National Contracting Company,Engineering & Construction,4.2,246,57,"Job Security, Work Satisfaction",Promotions / Appraisal
3074,ArcGate,IT Services & Consulting,3.6,246,19,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
3075,Sagar Cements,Building Material,4.3,246,39,"Work Life Balance, Job Security, Work Satisfaction",None
3076,MRF Vapocure Paints,Chemicals,4,246,35,"Work Life Balance, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
3077,Health India Tpa Services,Insurance,3.6,246,22,"Promotions / Appraisal, Work Satisfaction, Company Culture",None
3078,Ambuja Neotia,Real Estate,4.2,245,34,"Job Security, Work Life Balance, Company Culture",None
3079,Birla white,Building Material,4.1,245,36,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal
3080,ABI Showatech,Auto Components,3.9,245,33,Skill Development / Learning,Promotions / Appraisal
3081,Micron Technology,Semiconductors,3.7,245,46,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
3082,Shah Technical Consultants,Telecom,3.6,245,15,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3083,Allanasons,Food Processing,3.9,245,159,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
3084,QBurst Technologies,Software Product,4.4,245,20,"Job Security, Work Life Balance, Company Culture",None
3085,Hygienic Research Institute,Beauty & Personal Care,4.3,245,67,"Company Culture, Work Life Balance, Job Security",None
3086,P&O Cruises,Travel & Tourism,4.5,245,187,"Company Culture, Job Security, Skill Development / Learning",None
3087,Andromeda Sales And Distribution,Financial Services,3.2,245,33,"Job Security, Salary & Benefits, Work Satisfaction",None
3088,Adani Capital,NBFC,4.3,245,7,"Work Life Balance, Company Culture, Job Security",None
3089,AVIOM,NBFC,4.2,245,8,"Work Life Balance, Salary & Benefits, Company Culture",None
3090,TDS Lithium-Ion Battery,Electrical Equipment,4.2,245,5,"Company Culture, Job Security, Skill Development / Learning",None
3091,Flipkart Wholesale,Unknown,4.1,245,39.39854522,"Salary & Benefits, Company Culture, Work Life Balance",None
3092,Mahle Anand Thermal Systems,Auto Components,4.2,245,39.39854522,"Company Culture, Job Security, Skill Development / Learning",None
3093,DM Consultants,Unknown,1.3,245,39.39854522,"Company Culture, Work Life Balance, Work Satisfaction",None
3094,Mkc Infrastructure,Engineering & Construction,3.6,244,61,"Company Culture, Salary & Benefits, Promotions / Appraisal",None
3095,Visa,FinTech,4.1,244,66,"Job Security, Work Life Balance, Company Culture",None
3096,UCO Bank,Banking,3.6,244,81,Job Security,"Company Culture, Work Satisfaction, Skill Development / Learning"
3097,Omkar Realtors and Developers Group,Real Estate,4.1,244,21,"Company Culture, Work Life Balance, Skill Development / Learning",None
3098,Tommy Hilfiger,Fashion & Textile,4.4,244,39,"Company Culture, Skill Development / Learning, Job Security",None
3099,Reliance Money,Financial Services,4,244,18,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
3100,SALARPURIA SATTVA,Real Estate,4.3,244,38,"Job Security, Work Life Balance, Company Culture",None
3101,Appsierra,IT Services & Consulting,4.6,244,9,"Work Life Balance, Skill Development / Learning, Promotions / Appraisal",None
3102,YKK,Fashion & Textile,3.9,244,29,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
3105,Jubilant Biosys,Biotechnology,3.8,244,24,Job Security,Promotions / Appraisal
3106,Hindustan Times,Media & Entertainment,3.6,244,100,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
3107,Cloud4C,IT Services & Consulting,3.4,244,10,"Work Life Balance, Company Culture, Promotions / Appraisal",None
3108,Al Tasnim Enterprises,Engineering & Construction,3.8,244,48,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
3110,Ang India,Consumer Electronics & Appliances,4,244,46,"Skill Development / Learning, Work Life Balance, Job Security",None
3111,Alchemy Techsol India,IT Services & Consulting,3.7,244,10,"Promotions / Appraisal, Job Security, Skill Development / Learning",None
3112,L&T–MHI Power Boilers,Industrial Machinery,4.1,244,18,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
3113,Coding Ninjas,EdTech,4.2,244,8,"Work Life Balance, Skill Development / Learning, Company Culture",None
3114,Teachnook,EdTech,3.3,244,3,"Salary & Benefits, Job Security, Work Satisfaction",None
3115,Xchanging,IT Services & Consulting,3.8,243,26,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
3116,ReachLocal Services,Marketing & Advertising,3.8,243,14,"Work Life Balance, Company Culture",Promotions / Appraisal
3117,Bird Worldwide Flight Services,Aviation,3.4,243,25,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
3118,Nitco,Building Material,4.3,243,71,"Company Culture, Work Life Balance, Job Security",None
3119,Go Colors,Fashion & Textile,4,243,14,Job Security,None
3123,Vini Cosmetics,Beauty & Personal Care,3.7,242,15,"Job Security, Promotions / Appraisal, Company Culture",None
3124,Emami Paper Mills,Pulp & Paper,4.4,242,42,"Job Security, Skill Development / Learning, Work Life Balance",None
3125,Nabard Financial Services,NBFC,4.2,242,15,"Company Culture, Work Life Balance, Salary & Benefits",None
3126,Watertec India,Building Material,4.2,242,27,"Work Life Balance, Job Security, Salary & Benefits",None
3127,Manipal Technologies,Printing & Publishing,3.9,242,83,Work Life Balance,Promotions / Appraisal
3128,CSC,Unknown,4.1,242,39.39854522,"Work Life Balance, Work Satisfaction, Skill Development / Learning",None
3129,Vascon Engineers,Real Estate,3.7,242,38,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",None
3130,ICRA,Financial Services,3.2,242,33,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
3131,Patil Group,Engineering & Construction,4.1,242,91,"Skill Development / Learning, Work Life Balance, Job Security",None
3132,Shriram Chits,Financial Services,3.9,242,50,"Promotions / Appraisal, Salary & Benefits",None
3133,Citykart Retail,Retail,4,242,8,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",None
3134,FabAlley,Retail,4.4,242,12,"Work Satisfaction, Company Culture, Work Life Balance",None
3135,DSV - Global Transport and Logistics,Logistics,4.1,242,48,"Skill Development / Learning, Salary & Benefits, Company Culture",None
3136,Realme,Consumer Electronics & Appliances,3.7,242,39.39854522,"Promotions / Appraisal, Job Security, Work Satisfaction",None
3137,Tradebulls,Financial Services,3.1,242,15,"Job Security, Promotions / Appraisal, Work Satisfaction",None
3138,e-Zest,IT Services & Consulting,4.1,241,24,"Work Life Balance, Company Culture, Job Security",None
3139,Suburban Diagnostics,Healthcare,4,241,30,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
3141,Essel Group,Media & Entertainment,4,241,98,"Promotions / Appraisal, Salary & Benefits",None
3142,Richa Global Export,Fashion & Textile,4,241,33,"Skill Development / Learning, Company Culture",Promotions / Appraisal
3143,CK Birla Group,Building Material,4.1,241,162,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
3144,Siemens Healthcare,Healthcare,4.5,241,128,"Work Life Balance, Job Security, Company Culture",None
3145,Ensure Support Services,IT Services & Consulting,4.2,241,11,"Work Satisfaction, Skill Development / Learning, Work Life Balance",None
3147,Aris Global Software,Software Product,3,241,37,"Promotions / Appraisal, Job Security, Work Satisfaction",None
3148,MobileComm Technologies India,Telecom,3.9,241,22,"Promotions / Appraisal, Job Security",None
3149,Apcer Life Sciences,Clinical Research,3.7,241,17,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3150,Ordnance Factory,Government,4.3,241,249,"Company Culture, Skill Development / Learning, Work Life Balance",None
3151,PEGATRON,Unknown,3.8,241,39.39854522,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3152,Sarvodaya Hospital,Healthcare,3.8,241,33,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",Promotions / Appraisal
3153,Sabre,Software Product,3.9,240,64,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal"
3154,Aptus Value Housing Finance India,NBFC,4.3,240,15,"Work Life Balance, Work Satisfaction, Company Culture",None
3155,Housejoy,Facility Management Services,4.3,240,10,"Work Life Balance, Company Culture, Promotions / Appraisal",None
3156,Toshiba Transmission & Distribution Systems,Electrical Equipment,4,240,130,Job Security,Promotions / Appraisal
3157,Khimji Ramdas,Retail,4.1,240,154,"Job Security, Work Life Balance",Promotions / Appraisal
3158,TÜV Rheinland,Law Enforcement & Security,4.1,240,152,"Company Culture, Work Life Balance",Promotions / Appraisal
3159,“Bharat Financial Inclusion Limited”,Unknown,4.4,240,39.39854522,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3163,Ubisoft Entertainment,Gaming,4,240,38,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
3164,POSCO MAHARASHTRA STEEL,Iron & Steel,4.2,240,12,"Job Security, Company Culture, Work Life Balance",None
3165,El Seif Engineering Contracting,Engineering & Construction,4.4,240,49,"Work Life Balance, Salary & Benefits, Skill Development / Learning",None
3167,Labcorp,Healthcare,4.1,240,39.39854522,"Job Security, Work Life Balance, Company Culture",None
3168,InfoBeans,IT Services & Consulting,3.7,240,24,Work Life Balance,Promotions / Appraisal
3169,SBL,IT Services & Consulting,3.4,240,19,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3170,Roki Minda Co,Auto Components,4.5,239,14,"Job Security, Work Life Balance, Company Culture",None
3171,Indus Net Technologies,IT Services & Consulting,3.7,239,27,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Job Security"
3172,ACG Worldwide,Pharma,4.1,239,63,"Salary & Benefits, Job Security, Skill Development / Learning",None
3173,Roche Diagnostics,Pharma,3.7,239,128,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction"
3174,Apollo Clinic,Healthcare,3.9,239,22,"Promotions / Appraisal, Salary & Benefits",None
3175,Mitra SK,Other,3.9,239,86,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
3176,Onida,Consumer Electronics & Appliances,3.9,239,43,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
3177,East India Udyog,Electrical Equipment,3.9,239,58,"Job Security, Promotions / Appraisal, Skill Development / Learning",None
3178,Omega Healthcare Solutions,Healthcare,3.6,239,39.39854522,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",None
3179,Asti Electronics India,Auto Components,4.2,238,20,"Work Life Balance, Company Culture, Job Security",None
3180,Magic Software,IT Services & Consulting,3.4,238,34,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
3181,Western Digital,Consumer Electronics & Appliances,3.5,238,54,"Promotions / Appraisal, Job Security, Skill Development / Learning",None
3182,Mahindra Lifespace Developers,Real Estate,4.2,238,30,"Job Security, Work Life Balance, Company Culture",None
3183,Inventia Healthcare,Pharma,4.1,238,39,"Job Security, Work Life Balance, Company Culture",None
3184,MT Educare,Education & Training,3.3,238,36,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3185,Birla Tyres,Auto Components,3.5,238,33,"Promotions / Appraisal, Job Security, Company Culture",None
3186,Eastern Condiments,FMCG,4.1,238,41,"Company Culture, Work Life Balance, Work Satisfaction",None
3187,MapmyIndia,Software Product,3.9,238,32,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
3188,Planetcast,Media & Entertainment,3.9,238,28,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
3189,VGN Projects Estates,Real Estate,4.1,238,82,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",None
3190,Solartis Technology Services,IT Services & Consulting,3.7,238,20,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
3191,TowerVision India,Telecom,4.1,238,18,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
3192,HungerBox,Internet,3.8,238,8,Work Life Balance,"Promotions / Appraisal, Job Security"
3193,Signode,Unknown,4,238,111,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
3194,MMC Infotech Services,IT Services & Consulting,3.5,237,34,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",None
3195,Aliens Group,Real Estate,3.4,237,20,"Work Life Balance, Job Security, Promotions / Appraisal",None
3196,Theme Engineering Services,Engineering & Construction,3.7,237,22,"Salary & Benefits, Promotions / Appraisal, Job Security",None
3197,Treebo Hotels,Internet,3.6,237,9,"Job Security, Promotions / Appraisal, Work Satisfaction",None
3198,VST Industries,FMCG,4,237,94,Promotions / Appraisal,None
3199,CESC,Power,3.8,237,125,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3200,Radiant Cash Management Services,Financial Services,3.6,237,19,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3201,Zebronics,Consumer Electronics & Appliances,3.8,237,27,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3202,Seth M R Jaipuria School,Education & Training,3.9,237,32,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits"
3203,Signature Global,Real Estate,4.1,237,16,"Salary & Benefits, Promotions / Appraisal, Company Culture",None
3204,Knack Global,IT Services & Consulting,3,237,17,"Work Life Balance, Work Satisfaction, Company Culture",None
3205,Vayam Info Solutions,Recruitment,3.9,237,14,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
3206,Gujarat Alkalies & Chemicals,Chemicals,4.6,237,51,"Work Life Balance, Salary & Benefits, Work Satisfaction",None
3207,HiyaMee Private Limited,Recruitment,3.2,237,8,"Job Security, Promotions / Appraisal, Work Satisfaction",None
3208,Arjas Steel,Iron & Steel,4.3,237,31,"Job Security, Work Life Balance, Company Culture",None
3209,Sub-K IMPACT Solutions,Financial Services,4,237,14,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
3210,Sir H. N. Reliance Foundation Hospital and Research,Healthcare,3.9,237,99,"Salary & Benefits, Job Security","Work Satisfaction, Work Life Balance"
3211,SPRINKLR,Software Product,3.2,236,15,"Work Life Balance, Work Satisfaction, Company Culture",None
3212,CPM India Sales & Marketing,Marketing & Advertising,4.2,236,16,"Company Culture, Work Life Balance, Skill Development / Learning",None
3213,Cavisson Systems,IT Services & Consulting,2.1,236,13,"Company Culture, Work Life Balance, Salary & Benefits",None
3214,ISS SDB Security Services,Facility Management Services,4.4,236,14,"Skill Development / Learning, Work Life Balance, Job Security",None
3215,Royal Research,Analytics & KPO,2.1,236,11,"Salary & Benefits, Work Satisfaction, Company Culture",None
3216,Molecular Connections,IT Services & Consulting,3.4,236,23,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
3217,Moon Beverages,Beverage,3.8,236,37,"Promotions / Appraisal, Salary & Benefits",None
3218,Sekisui Dljm Molding,Auto Components,3.9,236,13,Promotions / Appraisal,None
3219,Altruist Customer Management India,BPO,3.5,236,14,"Salary & Benefits, Promotions / Appraisal, Company Culture",None
3221,Tata Steel Long Products,Iron & Steel,3.8,236,39.39854522,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
3222,Phenom,Software Product,4.2,236,13,"Skill Development / Learning, Job Security, Company Culture",None
3223,Checkmate Services,Facility Management Services,4.2,235,32,"Company Culture, Job Security, Work Satisfaction",Promotions / Appraisal
3224,Tega Industries,Industrial Machinery,3.8,235,48,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
3225,Bharat Dynamics,Defence & Aerospace,4.4,235,54,"Work Life Balance, Job Security, Company Culture",None
3226,Cactus Communications,Software Product,3.7,235,22,"Promotions / Appraisal, Salary & Benefits",None
3227,Peter England,Fashion & Textile,4.1,235,135,"Company Culture, Skill Development / Learning, Work Satisfaction",None
3228,Hindustan Syringes & Medical Devices,Medical Equipment,4.1,235,67,"Job Security, Salary & Benefits, Company Culture",None
3229,MNC Group,Investment Banking / Venture Capital / Private Equity,4.2,235,35,"Skill Development / Learning, Company Culture, Salary & Benefits",None
3230,Vision India Services,Recruitment,3.5,235,16,"Promotions / Appraisal, Job Security, Salary & Benefits",None
